year,commodity,port,value,type,unit,quantity,path_id,origin,destination,dest_lat,dest_lang,origin_lat,origin_lang
1749,Textiles,Bengal,297956,import,pieces,370365,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1660,Broadcloth,N/A,7344,export,cloths,495,2,N/A,London,0,0,51.5072,-0.1276
1660,Treasure,N/A,51329,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1660,New Draparies,N/A,221,export,N/A,9,2,N/A,London,0,0,51.5072,-0.1276
1660,Lead,N/A,1984,export,cwts,1984,2,N/A,London,0,0,51.5072,-0.1276
1661,Broadcloth,N/A,8117,export,cloths,544,2,N/A,London,0,0,51.5072,-0.1276
1661,Treasure,N/A,104520,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1661,New Draparies,N/A,473,export,N/A,160,2,N/A,London,0,0,51.5072,-0.1276
1661,Lead,N/A,2156,export,cwts,2251,2,N/A,London,0,0,51.5072,-0.1276
1662,Broadcloth,N/A,10189,export,cloths,815,2,N/A,London,0,0,51.5072,-0.1276
1662,Treasure,N/A,120095,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1662,Lead,N/A,2015,export,cwts,2015,2,N/A,London,0,0,51.5072,-0.1276
1663,Broadcloth,N/A,17322,export,cloths,1240,2,N/A,London,0,0,51.5072,-0.1276
1663,Treasure,N/A,135218,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1663,New Draparies,N/A,774,export,N/A,299,2,N/A,London,0,0,51.5072,-0.1276
1663,Lead,N/A,3515,export,cwts,3538,2,N/A,London,0,0,51.5072,-0.1276
1664,Broadcloth,N/A,13575,export,cloths,974,2,N/A,London,0,0,51.5072,-0.1276
1664,Treasure,N/A,75020,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1664,Lead,N/A,3177,export,cwts,3177,2,N/A,London,0,0,51.5072,-0.1276
1664,Coffee,Mocha,1138,import,cwts,401,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1664,Black Pepper,Bombay,6711,import,lb,268476,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1664,Black Pepper,South East Asia,11599,import,lb,899519,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1664,Saltpetre,Bengal,6186,import,lb,11789,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1664,Raw Silk,China,1246,import,lb,2010,6,China,London,35.8617,104.1954,51.5072,-0.1276
1664,Textiles,Bombay,35745,import,pieces,136469,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1664,Textiles,Madras,48496,import,pieces,112265,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1664,Textiles,Bengal,16645,import,pieces,24913,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1665,Broadcloth,N/A,10258,export,cloths,685,2,N/A,London,0,0,51.5072,-0.1276
1665,Treasure,N/A,26745,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1665,Lead,N/A,3241,export,cwts,3241,2,N/A,London,0,0,51.5072,-0.1276
1665,Coffee,Mocha,755,import,cwts,536,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1665,Indigo,N/A,5864,import,lb,27758,8,London,N/A,51.5072,-0.1276,0,0
1665,Black Pepper,Bombay,12457,import,lb,745733,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1665,Black Pepper,South East Asia,16595,import,lb,1479262,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1665,Saltpetre,Bengal,8193,import,lb,13177,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1665,Raw Silk,China,0,import,lb,0,6,China,London,35.8617,104.1954,51.5072,-0.1276
1665,Textiles,Bombay,36546,import,pieces,164409,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1665,Textiles,Madras,49888,import,pieces,107279,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1665,Textiles,Bengal,12250,import,pieces,19978,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1666,Broadcloth,N/A,12941,export,cloths,980,2,N/A,London,0,0,51.5072,-0.1276
1666,Treasure,N/A,17005,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1666,Lead,N/A,988,export,cwts,1129,2,N/A,London,0,0,51.5072,-0.1276
1666,Coffee,Mocha,0,import,cwts,0,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1666,Indigo,N/A,117,import,lb,1554,8,London,N/A,51.5072,-0.1276,0,0
1666,Saltpetre,Bengal,0,import,lb,0,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1666,Textiles,Bombay,0,import,pieces,0,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1666,Textiles,Madras,0,import,pieces,0,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1666,Textiles,Bengal,4875,import,pieces,7141,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1667,Broadcloth,N/A,3538,export,cloths,300,2,N/A,London,0,0,51.5072,-0.1276
1667,Treasure,N/A,3424,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1667,Lead,N/A,287,export,cwts,287,2,N/A,London,0,0,51.5072,-0.1276
1667,Coffee,Mocha,1004,import,cwts,381,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1667,Indigo,N/A,1508,import,lb,27942,8,London,N/A,51.5072,-0.1276,0,0
1667,Black Pepper,Bombay,3547,import,lb,169529,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1667,Black Pepper,South East Asia,369,import,lb,24646,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1667,Saltpetre,Bengal,0,import,lb,0,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1667,Textiles,Bombay,32897,import,pieces,141419,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1667,Textiles,Madras,3766,import,pieces,12295,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1667,Textiles,Bengal,0,import,pieces,0,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1668,Broadcloth,N/A,17500,export,cloths,1369,2,N/A,London,0,0,51.5072,-0.1276
1668,Treasure,N/A,109655,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1668,Lead,N/A,7055,export,cwts,7055,2,N/A,London,0,0,51.5072,-0.1276
1668,Coffee,Mocha,0,import,cwts,0,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1668,Indigo,N/A,314,import,lb,409,8,London,N/A,51.5072,-0.1276,0,0
1668,Textiles,Bombay,4242,import,pieces,6962,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1668,Textiles,Madras,0,import,pieces,0,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1668,Textiles,Bengal,0,import,pieces,0,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1669,Broadcloth,N/A,16644,export,cloths,1290,2,N/A,London,0,0,51.5072,-0.1276
1669,Treasure,N/A,113234,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1669,Lead,N/A,5059,export,cwts,6039,2,N/A,London,0,0,51.5072,-0.1276
1669,Chinaware,China,10,import,N/A,N/A,6,China,London,35.8617,104.1954,51.5072,-0.1276
1669,Coffee,Mocha,1603,import,cwts,516,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1669,Indigo,N/A,6450,import,lb,93552,8,London,N/A,51.5072,-0.1276,0,0
1669,Black Pepper,Bombay,7329,import,lb,358654,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1669,Black Pepper,South East Asia,33287,import,lb,2683349,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1669,Saltpetre,Bengal,10570,import,lb,20734,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1669,Raw Silk,Bengal,5,import,lb,20,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1669,Tea,China,120,import,lb,222,6,China,London,35.8617,104.1954,51.5072,-0.1276
1669,Textiles,Bombay,31995,import,pieces,165000,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1669,Textiles,Madras,30056,import,pieces,65815,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1669,Textiles,Bengal,5547,import,pieces,8085,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1670,Broadcloth,N/A,33544,export,cloths,2557,2,N/A,London,0,0,51.5072,-0.1276
1670,Treasure,N/A,189704,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1670,Lead,N/A,8552,export,cwts,10615,2,N/A,London,0,0,51.5072,-0.1276
1670,Coffee,Mocha,0,import,cwts,0,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1670,Indigo,N/A,8561,import,lb,100874,8,London,N/A,51.5072,-0.1276,0,0
1670,Black Pepper,Bombay,9874,import,lb,611132,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1670,Black Pepper,South East Asia,40506,import,lb,3684570,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1670,Saltpetre,Bengal,11101,import,lb,20629,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1670,Raw Silk,Bengal,2176,import,lb,7087,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1670,Textiles,Bombay,49982,import,pieces,222839,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1670,Textiles,Madras,70182,import,pieces,174600,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1670,Textiles,Bengal,11972,import,pieces,22233,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1671,Broadcloth,N/A,44425,export,cloths,3461,2,N/A,London,0,0,51.5072,-0.1276
1671,Treasure,N/A,203504,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1671,New Draparies,N/A,11563,export,N/A,1029,2,N/A,London,0,0,51.5072,-0.1276
1671,Lead,N/A,12319,export,cwts,15476,2,N/A,London,0,0,51.5072,-0.1276
1671,Indigo,N/A,10177,import,lb,120812,8,London,N/A,51.5072,-0.1276,0,0
1671,Black Pepper,Bombay,13417,import,lb,793497,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1671,Black Pepper,South East Asia,23116,import,lb,2080932,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1671,Saltpetre,Bengal,4773,import,lb,8453,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1671,Raw Silk,Bengal,2488,import,lb,5322,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1671,Tea,China,20,import,lb,264,6,China,London,35.8617,104.1954,51.5072,-0.1276
1671,Textiles,Bombay,68114,import,pieces,395563,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1671,Textiles,Madras,41152,import,pieces,94567,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1671,Textiles,Bengal,25814,import,pieces,43276,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
